Minggu;Tanggal;Hari;Fase;Aktivitas;Detail Pekerjaan
1;03-Okt-25;Jumat;PERANCANGAN;Orientasi & Pengenalan;Melakukan perkenalan dengan pembimbing dan tim IT. Menerima penjelasan mengenai latar belakang kebutuhan sistem Employee Digital Hub serta ruang lingkup pekerjaan selama magang.
2;06-Okt-25;Senin;PERANCANGAN;Diskusi Kebutuhan Sistem;Melakukan diskusi bersama mentor untuk mengidentifikasi permasalahan yang dihadapi dalam pengelolaan aset IT dan layanan kantor. Mencatat kebutuhan fungsional dan non-fungsional sistem.
2;07-Okt-25;Selasa;PERANCANGAN;Analisis Kebutuhan Pengguna;Melakukan wawancara dengan calon pengguna sistem (pegawai dan admin) untuk memahami ekspektasi dan kebutuhan fitur. Menyusun daftar prioritas fitur berdasarkan urgensi.
2;08-Okt-25;Rabu;PERANCANGAN;Studi Literatur;Mempelajari referensi sistem serupa dan best practice dalam pengembangan sistem helpdesk dan manajemen aset. Mencatat fitur-fitur yang dapat diadopsi.
2;09-Okt-25;Kamis;PERANCANGAN;Penyusunan Spesifikasi;Menyusun dokumen spesifikasi kebutuhan perangkat lunak (SRS) berdasarkan hasil diskusi dan analisis. Mendiskusikan draft dengan mentor untuk mendapat masukan.
2;10-Okt-25;Jumat;PERANCANGAN;Finalisasi Requirement;Melakukan revisi dokumen spesifikasi berdasarkan feedback mentor. Menetapkan scope final modul yang akan dikembangkan: User Management, Asset Management, Ticketing, Vehicle Booking, dan Knowledge Base.
3;13-Okt-25;Senin;PERANCANGAN;Perancangan Database;Merancang struktur database dengan mengidentifikasi entitas utama dan relasinya. Membuat daftar tabel beserta atribut yang dibutuhkan untuk setiap modul.
3;14-Okt-25;Selasa;PERANCANGAN;Pembuatan ERD;Membuat Entity Relationship Diagram (ERD) menggunakan tools diagram untuk memvisualisasikan relasi antar tabel. Mendiskusikan desain dengan mentor.
3;15-Okt-25;Rabu;PERANCANGAN;Perancangan Alur Sistem;Membuat flowchart untuk alur proses utama sistem meliputi: proses login, alur pengajuan tiket IT, dan alur peminjaman kendaraan dinas.
3;16-Okt-25;Kamis;PERANCANGAN;Desain Mockup UI;Membuat sketsa tampilan antarmuka (wireframe) untuk halaman utama dashboard dan modul-modul yang akan dikembangkan. Memperhatikan aspek kemudahan penggunaan.
3;17-Okt-25;Jumat;PERANCANGAN;Review Desain;Mempresentasikan hasil perancangan (ERD, flowchart, wireframe) kepada mentor. Menerima feedback dan melakukan perbaikan yang diperlukan.
4;20-Okt-25;Senin;PENGEMBANGAN;Setup Lingkungan Kerja;Melakukan instalasi dan konfigurasi environment pengembangan meliputi web server, database, dan code editor. Memastikan seluruh tools siap digunakan.
4;21-Okt-25;Selasa;PENGEMBANGAN;Inisialisasi Project;Membuat struktur project baru dengan framework yang dipilih. Mengkonfigurasi koneksi database dan pengaturan dasar aplikasi.
4;22-Okt-25;Rabu;PENGEMBANGAN;Pembuatan Migrasi Database;Membuat file migrasi untuk seluruh tabel sesuai dengan ERD yang telah dirancang. Menjalankan migrasi untuk membentuk struktur database.
4;23-Okt-25;Kamis;PENGEMBANGAN;Pengembangan Modul Autentikasi;Mengembangkan fitur login dan logout dengan validasi kredensial. Mengimplementasikan session management untuk keamanan akses.
4;24-Okt-25;Jumat;PENGEMBANGAN;Pengembangan Role & Permission;Mengimplementasikan sistem hak akses berbasis peran (RBAC) untuk membedakan akses antara Admin, Pegawai, dan Pimpinan.
5;27-Okt-25;Senin;PENGEMBANGAN;Modul User - Model & Controller;Membuat model dan controller untuk pengelolaan data pengguna. Mengimplementasikan relasi antara user dengan role dan seksi/bagian.
5;28-Okt-25;Selasa;PENGEMBANGAN;Modul User - CRUD Interface;Mengembangkan antarmuka untuk menambah, melihat, mengubah, dan menghapus data pengguna. Menambahkan fitur upload foto profil.
5;29-Okt-25;Rabu;PENGEMBANGAN;Modul User - Validasi & Testing;Menambahkan validasi input pada form pengguna. Melakukan pengujian fungsionalitas CRUD dan memperbaiki bug yang ditemukan.
5;30-Okt-25;Kamis;PENGEMBANGAN;Modul Asset - Model & Relasi;Membuat model untuk data aset IT dengan atribut seperti nama, jenis, spesifikasi, dan status. Mengimplementasikan relasi dengan tabel pengguna.
5;31-Okt-25;Jumat;PENGEMBANGAN;Modul Asset - CRUD Interface;Mengembangkan antarmuka untuk pengelolaan data aset IT. Menambahkan fitur pencarian dan filter berdasarkan jenis dan status aset.
6;03-Nov-25;Senin;PENGEMBANGAN;Modul Asset - Assignment;Mengembangkan fitur penugasan aset kepada pegawai. Mencatat histori perpindahan aset dari satu pegawai ke pegawai lain.
6;04-Nov-25;Selasa;PENGEMBANGAN;Modul Asset - Import/Export;Mengimplementasikan fitur import data aset dari file Excel dan export data ke format Excel untuk keperluan pelaporan.
6;05-Nov-25;Rabu;PENGEMBANGAN;Modul Asset - Reporting;Membuat halaman laporan yang menampilkan statistik aset berdasarkan kondisi, jenis, dan status penggunaan.
6;06-Nov-25;Kamis;PENGEMBANGAN;Modul Asset - Testing;Melakukan pengujian menyeluruh terhadap modul aset. Memastikan seluruh fitur berfungsi sesuai spesifikasi dan memperbaiki bug.
6;07-Nov-25;Jumat;PENGEMBANGAN;Review Modul Asset;Mempresentasikan progress modul aset kepada mentor. Menerima masukan dan mendokumentasikan perbaikan yang perlu dilakukan.
7;10-Nov-25;Senin;PENGEMBANGAN;Modul Ticketing - Model;Membuat model untuk data tiket dengan atribut nomor tiket, kategori, prioritas, status, dan deskripsi masalah.
7;11-Nov-25;Selasa;PENGEMBANGAN;Modul Ticketing - Form Pengajuan;Mengembangkan form pengajuan tiket bagi pegawai. Mengimplementasikan auto-generate nomor tiket dan upload lampiran foto kerusakan.
7;12-Nov-25;Rabu;PENGEMBANGAN;Modul Ticketing - Workflow Status;Mengimplementasikan alur status tiket dari Open, In Progress, hingga Closed. Menambahkan fitur assignment tiket ke teknisi IT.
7;13-Nov-25;Kamis;PENGEMBANGAN;Modul Ticketing - Response System;Mengembangkan fitur komentar/respons pada tiket untuk komunikasi antara pelapor dan teknisi. Menampilkan histori percakapan.
7;14-Nov-25;Jumat;PENGEMBANGAN;Modul Ticketing - Notifikasi;Mengimplementasikan sistem notifikasi untuk memberitahu pengguna saat ada perubahan status atau respons baru pada tiket.
8;17-Nov-25;Senin;PENGEMBANGAN;Modul Ticketing - Dashboard;Membuat dashboard yang menampilkan ringkasan tiket: jumlah tiket baru, dalam proses, dan selesai. Menambahkan grafik statistik.
8;18-Nov-25;Selasa;PENGEMBANGAN;Modul Ticketing - Integrasi Aset;Mengintegrasikan modul ticketing dengan data aset sehingga pelapor dapat memilih aset yang bermasalah dari daftar aset yang dimiliki.
8;19-Nov-25;Rabu;PENGEMBANGAN;Modul Ticketing - Testing;Melakukan pengujian menyeluruh terhadap modul ticketing. Menguji alur dari pembuatan tiket hingga penyelesaian.
8;20-Nov-25;Kamis;PENGEMBANGAN;Modul Ticketing - Bug Fixing;Memperbaiki bug yang ditemukan selama pengujian modul ticketing. Melakukan optimasi query database.
8;21-Nov-25;Jumat;PENGEMBANGAN;Review Modul Ticketing;Mempresentasikan progress modul ticketing kepada mentor. Mendiskusikan perbaikan dan fitur tambahan yang mungkin diperlukan.
9;24-Nov-25;Senin;PENGEMBANGAN;Modul Vehicle - Model;Membuat model untuk data kendaraan dinas dengan atribut nomor polisi, jenis, kapasitas, dan status ketersediaan.
9;25-Nov-25;Selasa;PENGEMBANGAN;Modul Vehicle - CRUD Kendaraan;Mengembangkan antarmuka untuk pengelolaan master data kendaraan dinas. Menambahkan tracking masa berlaku pajak dan KIR.
9;26-Nov-25;Rabu;PENGEMBANGAN;Modul Vehicle - Form Booking;Membuat form peminjaman kendaraan dengan input tanggal, tujuan, keperluan, dan jumlah penumpang. Mengimplementasikan auto-generate nomor booking.
